State (Emission order)	H3k79me2	H3k36me3	H3k4me1	H3k27ac	H3k4me2	H2az	H3k4me3	Ezh239875	H3k27me3	Ctcf
1	3.582842080244132E-4	4.1218285809138775E-4	0.0034450702790466115	3.249143225246285E-4	0.0023513232447317316	0.0038188475427320028	0.003005697196865623	0.05090568337899199	0.183125781053261	0.004138334963503305
2	7.755550781279074E-4	0.001164368369698991	5.365823642188027E-4	4.75045203673201E-5	3.07583934780012E-14	0.0015045235367298327	1.609370347557141E-4	0.007366877684190079	0.003061965980884092	5.506328084587098E-4
3	0.030566624306404746	0.375455241873667	0.004892254403978081	4.1691904114325945E-4	3.2403851579171876E-4	6.521323427528037E-4	3.331473809499334E-4	0.010865845422082335	1.416405382433819E-4	0.006341336050705637
4	0.6430274088066088	0.2173898690767013	0.040990149764169766	0.001651530208325101	0.006157534512372881	0.0012383876110438647	7.53853643262508E-4	0.011806018388534158	2.401935448623488E-4	0.008932196118210799
5	0.9077624906001492	0.2502862129034631	0.581537189430185	0.37946867604982515	0.7072560098968255	0.043639225775767156	0.33811982887122044	0.01811921306247059	6.057624375492025E-4	0.040130961578396566
6	0.0716949289510695	0.17688530547955938	0.5608641436507557	0.42411146852522874	0.1843959124853339	0.031093707576689642	0.0031423397058494185	0.016767766489237074	2.319033007545231E-4	0.03407159167164682
7	0.012715295596901878	0.009127078406139112	0.7694503760063907	0.8936552131679768	0.7846107752437202	0.5860072797757582	0.13736408350464338	0.028311097273788197	3.2959406567992813E-4	0.07807320847450833
8	0.004952702716785748	0.0012628988993396036	0.3755790168142947	0.037168242938680804	0.1933325983152867	0.29767902901212945	0.014693826107844522	0.029736369751657943	0.005443098511110682	0.02863920856242404
9	0.3067633768444858	0.002092341131036036	0.1538810393862653	0.4191059563347028	0.8371934949679155	0.786179346926158	0.959234504762807	0.054453231964085275	0.06147488703293605	0.14616641983894985
10	0.005455005033293443	0.014738222954040174	0.03555631169111244	0.003327473834292052	0.033863043674740655	0.13086830637020105	0.004627066812324933	0.03803954490338778	0.02963431227471536	0.9002382248484968
